formula_pretty,FM/AFM,,
Ti2Te2P,,,
BaMgSn,,,
MgTi,,,
Al(BiO2)2,,,
NaTi2HO5,,,
ZnO2,,,
Mn2Ga2S5,,,
VPS3,,,
CeSe2,,,
SiS,,,
Bi2Pt,,,
CdS,,,
PdCl2,,,
Al2Ru,,,
ThCo5,,,
Na2ZrN2,,,
Ca(NCl)2,,,
Zn2Ga2S5,,,
HfSiTe,,,
Bi2S2O,,,
VI2,AFM,,
SnPO3,,,
HoFeGe2,,,
FeBiO3,,,
Y(CuS)2,,,
HfTe5,,,
BaMgPb,,,
Ce(SbSe2)2,,,
Ni,,,
SrTa2O7,,,
SrFe2Se2O,,,
MgBi2,,,
In2Se3,,,
MgTi,,,
CaC2,,,
HoTe3,,,
Ag2SeO4,,,
HoTe3,,,
ZnSiN2,,,
TmSb2,,,
HgSBr,,,
LiC12,,,
Er2Mg2Ru,,,
C,,,
LuTe3,,,
HfTe3,,,
ZnO,,,
PbS,,,
Sr2N,,,
CaNiGe,,,
ZnBi,,,
MgSn,,,
MgSb,,,
Pb3N2,,,
Ca(BH)2,,,
Zn(GaS2)2,,,
PtSe2,,,
Al2Zn2S5,,,
Mg(InSe2)2,,,
NbF4,,,
CeMg,,,
LuTe3,,,
LaIO3,,,
Nb2PdS6,,,
CuSnAu,,,
MgSn2,,,
NiAgSe2,,,
CaBO3,,,
MgCoGe,,,
Mg2Fe,,,
Ca2SiO4,,,
Tl2Ge2S5,,,
SrCu,,,
Li2GeN2,,,
NdGe5,,,
Cu2BrO3,,,
NaB(SO4)2,,,
LaGe5,,,
Sn4Ir,,,
HfMg6Nb,,,
HgSeO4,,,
As,,,
V2H2O5,,,
YCoGe2,,,
H4W,,,
Ga2Fe2S5,,,
KUClO3,,,
TlCu3S2,,,
HfAl5Ni2,,,
LaMg2,,,
Ca(InN)2,,,
GaCuS2,,,
NaN3,,,
CaC2(SN)2,,,
Pr2BC,,,
ZnSiO3,,,
NiPSe3,,,
ErFeGe2,,,
ZrGeTe4,,,
GeTe,,,
Mg2Ti,,,
Dy(CuS)2,,,
CuS,,,
CeSe2,,,
Na2ZnS2,,,
SrFe2S2O,,,
Zn(GaS2)2,,,
SnS,,,
TbGe5,,,
NaEr(SO4)2,,,
MgSn,,,
LuSb2,,,
TiSCl,,,
YMg2,,,
ErSb2,,,
PrAl3Cu,,,
RbO2,,,
CaMg,,,
KRbMg6O7,,,
Al2Zn2S5,,,
PaP2,,,
GeS2,FM,,
Al2ZnS4,,,
MgGa2,,,
CeMg,,,
Sb,,,
Hg2GeO4,,,
SmGe5,,,
TiAgSe2,,,
Sn(NF)2,,,
Si2O,,,
TbCBr,,,
CaO,,,
IrI3,,,
Bi,,,
LiP3,,,
LaNb2O7,,,
MgSb,,,
YMg5,,,
TbCoGe2,,,
CuF2,,,
AuN2,,,
Br,,,
Ga2O3,,,
SmSi3Ni,,,
SrBiS2F,,,
NiTe,AFM,,
TiAgF6,,,
Li2AgSn2,,,
Mg2Rh,,,
LiO2,,,
CeAl3Cu,,,
UTl2O4,,,
RbHfMg6O7,,,
Tm(CuS)2,,,
TbSb2,,,
U(OF)2,,,
HgBr2,,,
Sr2Co(BrO)2,,,
HfGe2,,,
HfSe3,,,
RbHfMg6O7,,,
AgClO4,,,
UBrO2,,,
RbNaMg6O7,,,
YbCl3,,,
CeS,,,
SbTeI,,,
Mg6VC,,,
TiNF,,,
CoTe2,,,
Be2BO5,,,
Sn3F8,,,
P,,,
CuBr,,,
BiBrO,,,
SnPS3,,,
LaBrO,,,
MoSe2,,,
LiCoAs,,,
TiCuF6,,,
KH2N,,,
ZrGe2,,,
Zr2Te2P,,,
BiSe,,,
PbIF,,,
ZrTe3,,,
CrSBr,,,
Eu2ZnGe3,,,
YSb2,,,
Zn2SiO4,,,
Cu2Te,,,
YCl3,,,
GeS,,,
U4Te3O4,,,
PdSe2,,,
Cr3N2,,,
UI3,,,
Sr2Cu(ClO)2,,,
BaIF,,,
UPb2,,,
NiCl2,FM,,
CaSn4S9,,,
Np(OF)2,,,
TaNiTe2,,,
UTeP,,,
Zr3SO9,,,
LaSe,,,
DyCl3,,,
P2H4PbO4,,,
NiTe2,,,
Nb(SBr)2,,,
NbTe5Pd,,,
ZrCl,,,
ZrSiTe,,,
ThBrN,,,
As,,,
Sn(CCl)2,,,
AgN3,,,
KRbMg6O7,,,
LiBiO2,,,
LiAuF4,,,
BiTe,,,
ErCoGe2,,,
GeI2,,,
YS,,,
Bi2Se3,,,
RhCl3,,,
InSe,,,
TiBrN,,,
ErSeI,,,
Nb3GeTe6,,,
NbCrSe5,,,
PbI2,,,
Mn(HO)2,,,
KFe2Se3,,,
TeRhCl,,,
Pb(CO2)2,,,
V2PbO6,,,
NaSb5O8,,,
Hf3Te2,,,
Ca(AuF6)2,,,
Bi2Te2S,,,
SiP,,,
Sn(SbTe2)2,,,
AgClO2,,,
Sc2CCl2,,,
PbBr2,,,
CdWO4,,,
Sn3PO6,,,
UNCl,,,
Cd3P2,,,
Ta2AgF12,,,
ThIN,,,
CdCl2,,,
CuTe,,,
TbBr,,,
Se2O5,,,
NaN3,,,
Bi2TeO5,,,
Au2Se2O7,,,
Ag2IOF,,,
CeSe2,,,
PbBrCl,,,
AuI,,,
Tl4O3,,,
Te2W,,,
YCI,,,
Ge3Sb2O9,,,
NaNbCl6,,,
Mg2Si,,,
TeI,,,
NaMnAs,,,
Na2ZnCl4O3,,,
Mn2NiO6,,,
AuSe,,,
CaHBr,,,
NdI2,,,
Li2TeO3,,,
NdBrO,,,
Zr(IO3)4,,,
VPO5,,,
TaS2,,,
LiV2O5,,,
TiClO,,,
Sc7Cl10,,,
CuBr,,,
Hg2ClO,,,
P2O5,,,
CaMnGe,,,
TlF3,,,
LiV2O5,,,
GaTeCl,,,
Te4O9,,,
Sn4Pt,,,
BiS,,,
CoCl2,FM,,
Zn(InS2)2,,,
Nb(SeCl)2,,,
GaSe,,,
Sb2Se3,,,
ScSi3Ni2,,,
CaThBr6,,,
Sr3Co2Cl2O5,,,
InTeI,,,
RbMnAs,,,
Mn2Te3O8,,,
ZrIN,,,
KMnP,,,
MgI2,,,
ThI4,,,
ZrSe2,,,
Mg(AlS2)2,,,
ScCl,,,
Ga2FeS4,,,
TlRe3(Se2Cl)2,,,
K2RuBr6,,,
KNb3O8,,,
VCl3,,,
SbI3,,,
GaSeBr7,,,
Te4Pt3,,,
USe2O7,,,
TlBS3,,,
SiTe2,,,
AlClO,,,
HgI2,,,
UIN,,,
PtPb4,,,
Fe(SbS2)2,,,
PbO,,,
PtI2,,,
FeSi2,,,
Ce2O3,,,
Li2Te2O5,,,
LuSBr,,,
RbMnP,,,
Na4Br2O,,,
AlPd5I2,,,
CaH4SO6,,,
In4Se3,,,
CuCO3,,,
Ni2Te3O8,,,
FeCl2,,,
RbPbI3,,,
K2Hg3(GeS4)2,,,
In2O3,,,
Te2O3F2,,,
CaMg(SiO3)2,,,
CuHOF,,,
AgXeF9,,,
LaI3,,,
Sb2S3,,,
CuBiS2,,,
InClO,,,
Cu2SO4,,,
Te2Au,,,
BaTe2F10,,,
Pr2Br5,,,
BiTeI,,,
Sb2S2O,,,
CaHI,,,
K2MgCl4,,,
WSe2,,,
Ca(HO)2,,,
ErSCl,,,
Y2NCl3,,,
InAg(PSe3)2,,,
Sc2NCl2,,,
TbCl,,,
TlIn(PSe3)2,,,
InAg(PS3)2,,,
CaClF,,,
TiBrO,,,
Ge(Te2As)2,,,
MnBr2,,,
TiCl2,,,
GaS,,,
TaI2O,,,
LaBr,,,
MoCl3,,,
GaHO2,,,
Pb2O3,,,
Sr3Fe2Cl2O5,,,
SiAs,,,
Bi(TeBr2)2,,,
CrClO,,,
RhBr3,,,
GeAs2,,,
InSbS3,,,
RbFe2Te3,,,
VCl2,,,
CrI2,,,
NaClO4,,,
PbBrF,,,
TiIN,,,
Hf2CuGe4,,,
BiI3,,,
SnO,,,
Ca2Cu(ClO)2,,,
Mo2SBr2,,,
NaGaH4,,,
OsCl2O,,,
PbCN2,,,
Nb(SCl)2,,,
KFe2S3,,,
RbBrF4,,,
CuI,,,
GeAsSe,,,
LaI2,,,
CaAsH5O6,,,
AsO2,,,
Sr3Fe2Br2O5,,,
SrIF,,,
TaTe4I,,,
Pb5(SI3)2,,,
RbPaF6,,,
SrHI,,,
CaH4SeO6,,,
LiHO,,,
In4Bi2S9,,,
CeGe2,,,
Ge2Te5As2,,,
SnS,,,
TiNCl,,,
TiTe2,,,
GdBr3,,,
Na2PbO2,,,
SnPbF4,,,
Hg2IO,,,
DySI,,,
RbPSe6,,,
IrBr3,,,
V2O5,,,
Ba2N,,,
MnTeMoO6,,,
InBrO,,,
Nb2Te6I,,,
PbO,,,
Nb2Se3,,,
Ta2Te5Pd3,,,
SrH4O3,,,
NaSO2,,,
RuCl2O,,,
UBr4,,,
IO3,,,
CaPH3O4,,,
BiClO,,,
DySBr,,,
Zn3As2,,,
AlCl3,,,
NaFeAs,,,
Ca3Cu2(ClO2)2,,,
Bi9I2,,,
Nb2GeTe4,,,
HgI2,,,
TmIO,,,
NbO2,,,
InCu(PSe3)2,,,
Tl3BSe3,,,
NaTaCl6,,,
NiI2,FM,,
V2Pb3O8,,,
TeO2,,,
Te3Cl2,,,
CdBr2,,,
ReCl3,,,
ReBiO4,,,
SmBr3,,,
CuSbSe2,,,
LiCu(PO3)2,,,
BiPO4,,,
KPSe6,,,
Hg2P2S7,,,
LuHCl,,,
ZrCl2,,,
TaTe4Ir,,,
CuH2(SeO3)2,,,
SbF3,,,
BiIO,,,
CuHgSCl,,,
UBrN,,,
K4Br2O,,,
NdGe2,,,
TlPbI3,,,
LaCl,,,
K2Sb4S7,,,
MoNCl3,,,
SnF4,,,
InTeBr,,,
Cd(IO3)2,,,
Si(PbSe2)2,,,
CaMnSi,,,
SnI2,,,
Nb3Cl7,,,
As2SO6,,,
MnAlGe,,,
MnI2,FM,,
Ca2N,,,
TiSe2,,,
TiS2,,,
BiTeCl,,,
TiBr2,,,
MgCl2,,,
SmS,,,
ScHCl,,,
Bi,,,
ThI2,,,
Te2Rh,,,
Ge(BiTe2)2,,,
NiBr2,FM,,
VClO,,,
InBi,,,
Y4CI5,,,
MnCl2,,,
Mg(AlH4)2,,,
ZrSe3,,,
ErHCl,,,
WS2,,,
CuBr2,,,
MnO2,,,
ZrP2(HO3)2,,,
TbCl3,,,
MgMnGe,,,
CrHO2,,,
InSe,,,
Te2Ir,,,
Al3Ir,,,
SrBrF,,,
InGaS3,,,
Eu(CdP)2,,,
TlI,,,
ZrNCl,,,
Y6C2I7,,,
Nb3SBr7,,,
AgI,,,
BiSe,,,
CrBr3,,,
AlO2,,,
Xe(OF)2,,,
As2O3,,,
TlF,,,
ZrNCl,,,
AlO2,,,
TlF,,,
IrCl3,,,
Sr4Mn3(ClO4)2,,,
YBC,,,
As2O3,,,
NdBr3,,,
GaSe,,,
GaSe,,,
Tl2O3,,,
MoO3,,,
Nb3TeCl7,,,
Y2Cl3,,,
YBC,,,
RbC2,,,
ZnH2SeO4,,,
SbAsO3,,,
MoO3,,,
PPdS,,,
PAuS,,,
AgI,,,
Sr(BiO2)2,,,
B2S3,,,
SrThBr6,,,
Bi(PdO2)2,,,
PAuS,,,
CdP2(HO)4,,,
Ta2Se,,,
Sn2IF3,,,
BaThBr6,,,
Na2Cl,,,
TiBr3,,,
FeMoClO4,,,
As3(HO2)5,,,
CaP2(HO)4,,,
HfS3,,,
BiOF,,,
HgPS3,,,
Zr2CuGe4,,,
FeSn2(CN)6,,,
LiV(OF)2,,,
BaTl(SnO3)2,,,
TiO2,,,
Pr2I5,,,
VOF2,,,
RbC2,,,
MgBr2,,,
ZnPS3,,,
ZnTeMoO6,,,
TaCoTe2,,,
Ta2NiS5,,,
LiCuCO3,,,
SbO2,,,
Mg(IO3)2,,,
I2O5,,,
PuBr3,,,
Ca3Cu2(BrO2)2,,,
Sb4Br2O5,,,
DyZnPO,,,
Tl2Sn(AsS3)2,,,
HfS2,,,
Zn(HO)2,,,
CrCl3,,,
NaInBr4,,,
Te4MoBr,,,
Zr(MoO4)2,,,
SrBi5O9,,,
Nb3TeI7,,,
AgIO3,,,
Cr2SiO4,,,
LiCuCO3,,,
NbNiTe2,,,
ZrBrN,,,
ZrTe5,,,
Re(TeCl6)2,,,
TlInS2,,,
Sb2Te4Pb,,,
Ta4AgS8,,,
Si2Hg6O7,,,
Co2Te3O8,,,
SrThBr6,,,
ZnTeMoO6,,,
Li2MnF6,,,
AgSb2F12,,,
CrBrO,,,
Ag2S,,,
Li2UBr6,,,
Ta3Te14Pd3,,,
YFeF5,,,
La2PBr2,,,
Fe4Cu2S7,,,
Mg(IO3)2,,,
MgSb2O5,,,
LiV(OF)2,,,
BiBr3,,,
Rb2O,,,
BaTl(CoO3)2,,,
Nb2CS2,,,
Bi2P4O13,,,
Ba2Bi3O7,,,
SbTe,,,
Rb2Sn(H2N)6,,,
PrBrO,,,
RbPbF3,,,
KH2I3O,,,
SiO2,,,
Ba2Mn3O8,,,
Ag2CO3,,,
NiC2(SN)2,,,
SiBi2O5,,,
SnPHO4,,,
TbH2Br,,,
BiTeIO3,,,
FeHO2,,,
CrSbO4,,,
Nb3SiTe6,,,
HoBrO,,,
Mn(CoO3)2,,,
Sr2MnClO3,,,
Hg2MoO4,,,
LiBH4,,,
VO2,FM,,
TmBrO,,,
Ba2TiO4,,,
MgSnF4,,,
BiSe,,,
FeClO,,,
Ti(WO4)2,,,
PuI3,,,
BaCuReO5,,,
LiCuCO3,,,
V4Ag2O11,,,
TiCl3,FM,,
ZrH3NF4,,,
NaH4IO2,,,
Ni(IO3)2,,,
Ba2Sb2O5,,,
BaCuSbO5,,,
FeO2,,,
TlVO3,,,
Ti(CoO3)2,,,
Sb4Cl2O5,,,
Ta4AgS8,,,
ReSe2,,,
ZrIN,,,
CrPO4,,,
BaThBr6,,,
NdTe3,,,
TlP5,,,
RbAsO2,,,
Ca(BiO2)4,,,
AgHgSBr,,,
MgBi2O5,,,
MgSb2O5,,,
Al2CdCl8,,,
TlAsS2,,,
BaNiF4,,,
Ti3H2O7,,,
U(HO2)2,,,
NaAu(SO4)2,,,
B3C10N3,,,
CaCr2F12,,,
CdP2H6O7,,,
Sb2TeSe2,,,
BaCuWO5,,,
ZrTe2Br5,,,
CdCN2,,,
NbSe2,,,
Mn(HO)2,,,
Lu4B3C4,,,
BaCaI4,,,
AuClO2,,,
HoSb2,,,
Te3(PdBr)4,,,
TiCo3O8,,,
Nb2VZn2O8,,,
ZrTiTe4,,,
Hg2SO4,,,
Tl2SnS3,,,
Nb2Te4Cl10O,,,
Mn3SbO8,,,
CdBiS2Cl,,,
InSb2Se4Br,,,
Ti2ZnO5,,,
LiCu2F5,,,
AuCClO,,,
Sc2Te5O13,,,
Y7C3I6O,,,
CrCu(PS3)2,,,
Te6Br2O11,,,
BaTl(SnO3)2,,,
VOF3,,,
HgI2,,,
Zn2In2S5,,,
Bi2O3,,,
BaCaI4,,,
PbWO4,,,
TlSbO3,,,
NbTlBr4O,,,
InSb2S4Cl,,,
Fe4Cu2S7,,,
FeWClO4,,,
Si3Bi2O9,,,
GeTe,,,
SnBrF,,,
SbOF,,,
TiPb9O11,,,
UTeO,,,
Ba2Ti3O7,,,
Bi2PbSe4,,,
HgINO3,,,
Zn(InS2)2,,,
TiBi2O5,,,
Lu2Te5O13,,,
MnSb2F12,,,
Zn2Ag2O5,,,
TiV2CrO10,,,
Sc2Te5O13,,,
Mg(SbO2)2,,,
C,,,
Ba2LiN,,,
Li3Fe2F9,,,
Ti3H2O7,,,
CoTeO4,,,
Fe(PS3)2,,,
Re3Se4Cl,,,
ZnBi2O5,,,
Ga2Fe2S5,,,
Sb2WO6,,,
VTeO4,,,
PuIO,,,
Sb4O5F2,,,
ReS2,,,
K(MoO3)3,,,
Ti3H2O7,,,
MgCl2,,,
KCrClO3,,,
TaF5,,,
CdHClO,,,
Cr2S5,,,
Mn2F7,,,
VOF3,,,
Sr2CrCu2O7,,,
CrAgSe2,,,
LiTeO3,,,
H2WO4,,,
Zn2W2O5,,,
Zn(SbO2)2,,,
CoSe,,,
AuSe,,,
Bi2O3,,,
Mg2Mo3O8,,,
Ca(SbO2)2,,,
Mg2Al2Se5,,,
Y2Te5O13,,,
Mg2Ag2O5,,,
CaP(H2O3)2,,,
Ta3Te14Pd3,,,
Bi3Se4,,,
Sr3Co2S2O5,,,
Fe(HO)2,,,
Zn2SeCl2O3,,,
VZnF4,,,
Ti3H2O7,,,
Be(BC)2,,,
TiO2,,,
InBr3,,,
Li2BiO3,,,
Sb2P3(HO3)3,,,
ZrPbF6,,,
CuHgSBr,,,
Lu2Te5O13,,,
V2Re2O11,,,
Sb2Te2Se,,,
CuBiO2,,,
FePS3,,,
MoO3,,,
Mg3P2(HO)16,,,
Ta3(OF)5,,,
Nb2TlPS10,,,
BiPPbO5,,,
HoTe2ClO5,,,
NaBF4,,,
Cr3Sb5O16,,,
Zn,,,
Si2H2O5,,,
CaP2H6O7,,,
Mg3Si4(HO6)2,,,
NiP2,,,
GaS,,,
Y2(CuO2)3,,,
Si2O5,,,
CrCuO4,,,
MgPSe3,,,
MoN2,,,
Cd,,,
Zr3(Al2C3)2,,,
Zn2Co3O8,,,
NbV3O10,,,
RuF4,,,
IClOF,,,
K2CoSe2,,,
CoAsS,,,
Sr2Cu2NiO7,,,
SrCuBiO4,,,
Mg(BH4)2,,,
CuCClO,,,
Mn5O9F,,,
LiH2NO3,,,
Tl2O,,,
Cr3O8,,,
Si2H2O5,,,
TlSbO3,,,
InTeO3F,,,
Ba2Ni3O7,,,
SbO2,,,
Sr2CoSO3,,,
HgIBr,,,
Co2SbO6,,,
Sn3(P2O7)2,,,
Hg3Au,,,
Bi4O5F2,,,
Ca(BiO2)4,,,
Tl2S,,,
Ga2Te3,,,
SmGa2Co,,,
RbPbF3,,,
K2U3(IO5)4,,,
Ge3(Te3As)2,,,
Mn(CoO3)2,,,
LaPb6BrO7,,,
Pb(ClO2)2,,,
La2(BiO2)7,,,
AgBiO2,,,
Zn2Cr3O8,,,
Mg3(HO2)2,,,
BaYSn4O7,,,
NbSe3,,,
KH(CN2)3,,,
Mg(AlSe2)2,,,
BaV4O8,,,
MgPS3,,,
MnCoO4,,,
Ca(SnO2)2,,,
VCl2O,,,
CaTi4O9,,,
Li4Co(PO4)2,,,
Ti3H2O7,,,
Mn(PO4)2,,,
CrSiTe3,FM,,
TlFeSe2,,,
KB(CO2)4,,,
HfSnO3,,,
Nb2CrO8,,,
VF4,,,
TiOF2,,,
Na2H6PtO6,,,
CaSb2O5,,,
LiCuO,,,
LiAg(CO2)2,,,
KV4O10,,,
Ta2TiZn2O8,,,
PtS2,,,
MgMn2O5,,,
CrTe3,FM,,
Li4VF8,,,
S(IO3)2,,,
BaAlSn4O7,,,
Bi2Pb2Se5,,,
Ca3Zn,,,
Li2P4WO13,,,
SmH2ClO2,,,
LiCoPO4,,,
Ba2Tl2CuO6,,,
YGe3,,,
Sb5O7F,,,
TlRe6Se8Cl3,,,
LiVF4,,,
SbPO4,,,
ZnCu(SiO3)2,,,
Re2O7,,,
GaGeTe,,,
FeCoO4,,,
SrLaBr5,,,
TcO3F,,,
LiFeP2O7,,,
Li2V(PO4)2,,,
SrLaI5,,,
BaTl(CoO3)2,,,
AlBMo,,,
CrO2,,,
Li2Cr3(CO3)6,,,
SrH2O3,,,
LiRe(OF2)2,,,
CdSbS2Cl,,,
MoCl2,,,
InCu(MoO4)2,,,
V2ZnO5,,,
TePdI2,,,
LiVF4,,,
VZnO2,,,
LiMnPO4,,,
AgO2F,,,
CeBiS2O,,,
PtO2,,,
SbClO,,,
ZnNi2O5,FM,,
MgFe4O9,,,
SbPO4,,,
ZrBrN,,,
Ta2CrO8,,,
Mn2F5,,,
Li2VO2F,,,
Mg(HO)2,,,
CaO2,,,
SnHC2O3,,,
Sr4As2O,,,
LiVO3,,,
HgPSe3,,,
Hg2WO4,,,
CuBi(PSe3)2,,,
K2PAuS4,,,
V2Te2O7F2,,,
U(BO3)2,,,
FeF4,,,
LaHBr2,,,
Au2Se3O10,,,
TaNi2TeSe,,,
Li6Br3N,,,
Li3SbS3,,,
SrH2(SeO3)2,,,
Y2Mn2S2O5,,,
SrP2(H2O3)2,,,
ZnSnO2,,,
Bi4Te2Br2O9,,,
BN,,,
Li2VF6,,,
Sb(MoO4)2,,,
Zn2In2S5,,,
Sm(AlCl4)2,,,
BaSbSe2F,,,
CaGeO3,,,
Si2Ag6O7,,,
Li2VF6,,,
TaAsO4,,,
Hg3SO6,,,
Mg(Mo3O8)2,,,
KRe2O4F7,,,
TmFeGe2,,,
Eu(ReO4)2,,,
VSe,,,
CuSe2Cl,,,
Tl2GeS3,,,
Li2Fe(PO4)2,,,
TeMoCl7O,,,
RbReSO3,,,
InH5(NF)2,,,
CdSb2Se3Br2,,,
Mg(SbO2)4,,,
Fe3OF7,,,
Ta2MoO8,,,
LiVF6,,,
MnPS3,,,
V2ZnS5,,,
Bi7(S3Cl)3,,,
K5NO4,,,
LiCuO2,,,
Pr(ReO4)2,,,
Ta2O5,,,
FeI2,AFM,,
ScBrO,,,
W2O5,,,
TiS3,,,
Hf(Te2Cl3)2,,,
YCBr,,,
BaP2(HO)4,,,
CuBrO2,,,
SnGeS3,,,
GeClF,,,
Te3As2,,,
Tl(IO3)3,,,
Te2Pt,,,
MgSb2O5,,,
YIO,,,
MnBiSe2I,,,
CoSb2Br2O3,,,
Li2Mn(PO4)2,,,
Ba(BSe3)2,,,
Ba2Tl2CuO6,,,
Ta2PdS6,,,
AgGeO3,,,
Hf3(Al2C3)2,,,
Li8Cr3TeO12,,,
AgCSN,,,
Ta2WO8,,,
PbWO4,,,
TaSe2,,,
Li4Ni(PO3)6,,,
CoO2,AFM,,
Cd(HO)2,,,
MnO2,,,
Sb,,,
FeOF,,,
Zr2Al4C5,,,
Bi2Te5Pb2,,,
Zn(SnN)2,,,
CuBrO2,,,
NbI2O,,,
LiFeF4,,,
K2Ca(NO2)4,,,
ZrAl5Ni2,,,
AlNiF5,,,
HfBrN,,,
HgC2(SN)2,,,
Ca(ClO2)2,,,
CrPS4,,,
AgCNO,,,
Ni(ClO4)2,,,
Te(HO2)2,,,
Sm2(PPt2)3,,,
Ba2Ti3O8,,,
Tl2Pt(CN)4,,,
Nb3IrSe8,,,
CaBi2O5,,,
V2O5,,,
Sn(WO4)2,,,
LiCu(PO3)3,,,
NbS3,,,
SrH9ClO5,,,
Ge3(BiTe3)2,,,
CdSbS2Br,,,
Ag2S,,,
In2Te5,,,
Bi3O2F5,,,
Sb(WO4)2,,,
Ba4As2O,,,
MoPO5,,,
KAsO2,,,
CaGe2WO6,,,
SmIO,,,
Cu3Te2(BrO3)2,,,
CaBiClO2,,,
AlF3,,,
Ca3SiBr2,,,
Te2Pd3Pb2,,,
LiTeHO4,,,
Tb5Br8,,,
HAuO2,,,
Mg(BiO2)2,,,
LiCuO2,,,
CoS2,,,
FeOF,,,
CuH6BrN2,,,
BiO2,,,
Li2UO4,,,
Mg(SnO2)2,,,
TmMg5,,,
LuBiO3,,,
VPbClO3,,,
VO2F,,,
CuAgO2,,,
CuCN2,,,
KBi2F7,,,
CaTlCl3,,,
Ba(CoO2)4,,,
Ce4C2Br5,,,
Hg3AsS4Br,,,
VF4,,,
CrF2,,,
CrPO5,,,
Al2Os,,,
LiVF5,,,
Sr2GaNi2O7,,,
Ga2NiS4,,,
Bi2Pd,,,
V3OF11,,,
FeS2,,,
Ta2Te3,,,
TiMn3O8,,,
Fe2C2O7,,,
La4C2Br5,,,
SmSI,,,
BiTeBr,,,
TiSnO3,,,
BaSb2F12,,,
PbF4,,,
LiMn7O7F,,,
Zn2CrN2,,,
HoS,,,
BaLaCl5,,,
SmTe3,,,
Te3SeO8,,,
Bi2Rh3S2,,,
Mn3CrO8,FM,,
Co(ReO4)2,,,
CrP2S7,,,
Ba2Cr3O8,,,
Y2GeI2,,,
Yb3(SF2)2,,,
BaCr4O8,,,
CuS2,,,
LuSBr,,,
Al(HO)3,,,
VS2,AFM,,
TiO2,,,
BaLaBr5,,,
Mg2H2O3,,,
AgAuCl4,,,
Pr4C2Cl5,,,
Sr2Cu(BrO)2,,,
Co(HO)2,,,
MnPSe3,,,
ZnGe2WO6,,,
V2CuO6,,,
Al(HO)3,,,
CeBrO,,,
TeHO3,,,
VINCl3,,,
Li2Cr2O7,,,
S(IN)2,,,
LiP(HO)2,,,
PrBrO,,,
U2Te5,,,
TiMn2O6,,,
Mg2Sn3O8,,,
LiCuF4,,,
AgTeO3,,,
NaB(CO2)4,,,
CdI2,,,
CaP2(H2O3)3,,,
Fe3Se4,,,
Hg3As,,,
Bi2Te3,,,
Bi2OF4,,,
Mg(SnO2)2,,,
La2Si(IO2)2,,,
NiPS3,,,
FeP3(H2O3)3,,,
ZrBr,,,
K2Bi3F11,,,
Li2(FeO2)3,,,
BiSbO3,,,
SnSO4,,,
Ca2CoO3,,,
BaH9IO5,,,
Mn2CrO6,FM,,
Co(IO3)2,,,
Mn2CoO6,FM,,
V2NiSe4,,,
Nb2SiTe4,,,
HfSe2,,,
HfTe2,,,
LiCu3F10,,,
Sr2CoO3,,,
V3H5O8,,,
FeCl3,,,
Ca(SnN)2,,,
Zr2HBr2,,,
Ta2MnZn2O8,,,
Cu(IO3)2,,,
CuO2F,,,
TlBrO3,,,
PtI4,,,
Sc(IO3)3,,,
ZnSnO2,,,
EuIO,,,
MgNiP2O7,,,
Ba2Ni3O8,,,
Hg,,,
Ba2Mn3O7,,,
TiF4,,,
AgO2F,,,
Ta4Co2PdSe12,,,
AgClO2,,,
Sc5Cl8,,,
W3O8,,,
Ti(FeSe2)2,,,
Zn(SbO2)4,,,
SnSO4,,,
Bi2Se3,,,
TiO2,,,
TlPd2Se3,,,
TmBrO,,,
LaP3H8O7,,,
MgCl2O,,,
MgSiO3,,,
Cr(CoO3)2,,,
Bi2Te2S,,,
CaSnS3,,,
Mo3O8,,,
Co2C2O7,,,
DyCoSi2,,,
TlV3(SeO6)2,,,
ZnSnO2,,,
Si2H2O5,,,
GePt,,,
LiMnPO4,,,
Li2Cu2F5,,,
Cr3O8,,,
Mn(IO3)2,,,
LuBrO,,,
Sb4I2O5,,,
AuBrO2,,,
InSiTe3,,,
GeSe,,,
Sr2Co(ClO)2,,,
CuGe2P3,,,
W3Se2ClO8,,,
CrHO2,,,
Ca2Bi10O17,,,
BaH4O3,,,
Sn2SbS2I3,,,
YBr3,,,
RuCl3,,,
LaO3,,,
H3Pt,,,
Li2V3(CO3)6,,,
AlP,,,
BiO2,,,
Ca3(HO3)2,,,
CuO2,,,
VCl2O,,,
Ba2Tl2W3O10,,,
Na2FeO2,,,
InPbCl3,,,
RbCrClO3,,,
TaSe2,,,
TiSn(PO4)2,,,
MoF4,,,
Bi2TeSe2,,,
SrTcN3,,,
V3(HO2)4,,,
Li2Nb(PO4)2,,,
AsAuO3,,,
AlSiTe3,,,
Fe(CoO3)2,,,
FeS2,,,
TaSe3,,,
Ge2Sb2Te5,,,
BeF2,,,
Al2SnCl6O,,,
FeTe(PO4)2,,,
FeO3,,,
Cu2WS4,,,
CaSb2O5,,,
CrBr2,FM,,
Si(HgO2)2,,,
Cu2BiAsO6,,,
Tl2Te2O5,,,
Ca3SiBr2,,,
UCO5,,,
Zr(MoO4)2,,,
MoO3,,,
TlFeS2,,,
TlW2(Cl3O)2,,,
CaCr4O9,,,
GdZnPO,,,
NdZnPO,,,
CoBiO3,,,
CoTeMoO6,,,
Sr3Fe2S2O5,,,
Li3V(OF)2,,,
Cu2As4S3Cl2,,,
VBr2O,,,
Sr(ClO2)2,,,
Mg(ReO4)2,,,
